,/isin/CH0012221716,/isin/CH0012138605,/isin/CH0432492467,/isin/AT0000A18XM4,/isin/CH0127480363,/isin/CH1176493729,/isin/CH0531751755,/isin/CH0009002962,/isin/CH0315966322,/isin/CH0002432174,/isin/CH0225173167,/isin/CH0010570767,/isin/CH0210483332,/isin/CH0012142631,/isin/CH0360826991,/isin/CH0012138530,/isin/CH1169151003,/isin/CH0030170408,/isin/CH0010645932,/isin/CH0466642201
2020-12-29,22.7861,53.76,58.31,19.45,160.92,77.218,88.53,2001.80,226.79,391.58,97.09,8288.18,76.03,18.022,186.87,10.5786,55.36,527.031,3587.96,83.70
2020-12-30,22.6581,53.94,58.65,19.40,161.42,77.316,88.71,2026.82,232.03,397.16,98.47,8385.80,76.31,17.942,190.40,10.5232,55.84,533.557,3606.30,83.84
2021-01-04,22.5850,53.35,58.59,19.36,159.74,77.907,88.44,2024.89,227.27,390.04,98.01,8424.85,75.91,17.730,194.32,10.5186,55.36,531.829,3600.51,85.21
2021-01-05,22.9232,53.35,58.15,20.02,158.75,80.665,89.17,2021.04,230.13,396.97,97.00,8459.02,76.96,17.598,192.16,10.5186,55.80,541.234,3672.91,83.52
2021-01-06,23.1608,53.24,58.17,20.47,159.04,80.468,87.98,2024.93,232.51,393.89,96.55,8429.74,75.95,17.362,193.14,10.6478,55.80,537.587,3620.78,83.79
2021-01-07,24.0474,54.12,57.37,20.83,157.76,80.271,89.54,2013.26,232.99,395.62,95.63,8341.87,75.52,17.843,191.18,11.2383,56.23,544.880,3590.86,86.39
2021-01-08,24.2576,54.59,59.48,21.13,163.59,80.468,89.36,2007.43,230.13,404.28,93.44,8302.83,78.42,18.276,195.10,11.5843,57.20,553.709,3573.48,87.17
2021-01-11,24.4404,54.41,60.68,21.38,163.89,78.400,89.08,2003.54,231.08,405.05,93.07,8322.35,78.68,18.323,199.52,11.1645,56.91,558.507,3559.00,86.26
2021-01-12,24.4222,54.29,59.84,20.60,161.71,77.119,87.98,2009.37,226.79,409.85,94.17,8268.66,79.35,18.140,199.03,11.2383,56.48,561.578,3611.13,86.03
2021-01-13,24.5776,54.16,59.50,21.19,169.62,77.513,88.71,1991.87,231.56,420.24,95.08,8156.39,79.88,18.300,201.48,11.5335,57.64,570.215,3535.84,87.03
2021-01-14,24.6598,53.91,61.11,21.59,171.01,77.316,87.89,1986.03,228.22,420.05,95.17,8268.66,78.55,18.309,200.50,11.4182,57.35,574.245,3572.52,86.30
2021-01-15,24.8152,54.23,61.69,21.91,166.16,76.528,88.16,1986.03,234.42,413.32,94.72,8224.73,79.00,18.517,205.89,11.4505,57.50,542.385,3523.29,87.53
2021-01-18,23.9834,53.20,62.07,21.83,153.02,75.051,86.69,1986.03,233.46,408.89,93.07,8234.49,78.02,18.206,200.99,11.3951,56.38,536.628,3424.83,86.48
2021-01-19,23.9560,53.75,63.27,22.14,152.42,74.460,86.60,1976.31,238.23,410.82,93.71,8327.23,81.20,18.394,204.42,11.3951,56.67,534.516,3420.00,86.62
2021-01-20,23.9377,53.06,64.52,22.02,146.29,73.672,84.86,1952.96,236.32,411.01,92.89,7883.05,79.19,18.144,203.44,11.2290,55.60,534.900,3430.62,86.17
2021-01-21,24.1023,53.11,64.92,22.06,149.56,72.392,85.68,1951.02,236.32,410.82,92.98,7756.14,81.41,18.460,205.40,11.3075,55.46,531.062,3422.90,86.03
2021-01-22,24.2485,54.02,64.26,21.39,154.10,71.899,86.69,1956.85,236.80,416.20,93.35,7839.12,81.00,18.498,203.44,11.2890,56.43,535.092,3473.09,85.30
2021-01-25,24.4130,52.59,65.18,21.70,155.19,72.195,87.06,1970.47,232.51,421.59,92.34,7819.59,81.01,18.338,198.54,11.2383,55.94,534.516,3479.85,84.30
2021-01-26,24.3033,51.40,66.13,20.46,147.28,69.831,85.78,1978.25,231.08,420.63,90.42,7761.02,78.55,17.791,193.73,11.0722,54.73,527.991,3551.28,82.33
2021-01-27,24.4770,51.76,65.97,21.85,158.45,70.914,87.25,1999.65,235.37,424.47,91.61,7853.76,79.36,18.064,200.99,11.0722,55.31,528.567,3597.62,83.20
2021-01-28,24.3216,51.36,66.37,21.99,154.00,70.914,86.60,1972.41,230.60,417.93,89.78,7775.66,78.45,17.937,201.97,10.8830,53.47,526.647,3589.89,82.74
2021-01-29,24.3856,50.41,65.38,22.60,156.08,71.111,87.89,1987.98,233.46,407.35,91.11,7712.21,79.76,18.140,203.44,11.0722,54.29,531.446,3598.58,82.88
2021-02-01,24.0748,50.35,63.72,22.36,158.25,70.225,86.79,1924.76,232.99,406.01,88.77,7546.25,78.57,17.862,200.01,10.8461,54.19,523.577,3471.16,81.47
2021-02-02,24.4222,51.17,64.82,21.77,157.36,72.195,88.62,1923.79,230.13,416.97,90.60,7648.75,78.53,18.083,202.95,10.8830,54.78,531.254,3526.18,83.38
2021-02-03,24.9157,51.27,66.23,22.40,162.41,72.293,88.71,1952.96,231.08,417.16,91.79,7765.90,80.16,18.323,208.83,11.1506,55.89,532.597,3471.16,84.89
2021-02-04,25.0985,50.86,66.77,22.31,167.84,73.376,89.27,1962.69,241.56,428.13,92.61,7780.54,79.65,18.050,213.24,11.1506,55.89,530.870,3445.10,85.71
2021-02-05,23.8463,51.42,68.18,22.45,167.45,72.293,90.55,1974.36,239.18,428.90,92.98,7809.83,80.86,17.867,213.73,11.3767,56.57,532.789,3451.86,86.94
2021-02-08,23.6727,51.47,67.61,23.74,165.27,72.392,90.55,1974.36,234.42,420.24,93.89,7878.17,81.34,17.603,214.22,11.3444,56.48,526.647,3437.38,86.67
2021-02-09,23.8372,52.00,67.29,24.66,164.18,72.096,90.09,1952.96,233.46,424.28,93.62,7858.64,82.55,18.003,216.18,11.3951,57.79,531.446,3478.89,87.62
2021-02-10,23.8463,51.60,66.49,22.92,162.31,72.884,90.18,1962.69,232.99,421.59,93.25,7848.88,83.29,18.088,215.20,11.3490,57.11,530.678,3480.82,87.08
2021-02-11,23.7092,51.53,65.85,22.31,159.93,73.081,90.46,1968.52,230.60,419.28,93.89,7858.64,82.95,18.111,213.73,11.3859,57.16,527.223,3480.82,87.81
2021-02-12,23.6910,52.10,65.99,22.99,160.53,73.672,90.83,1958.80,223.93,419.28,93.71,7868.40,83.54,17.640,219.61,11.3444,57.64,531.446,3491.43,88.31
2021-02-15,23.9469,51.44,66.21,22.63,157.86,74.952,91.29,1966.58,238.23,415.43,91.43,8009.96,83.21,17.523,213.24,11.3721,57.20,534.900,3528.12,87.81
2021-02-16,24.0566,52.36,66.35,22.55,158.25,74.558,92.76,1960.74,241.09,417.55,92.07,7990.43,84.26,17.989,210.79,11.7042,57.30,538.931,3500.12,89.22
2021-02-17,24.3125,52.30,65.60,22.60,159.54,74.558,93.12,1944.21,242.52,418.32,91.29,8009.96,84.45,18.154,214.71,11.7919,57.59,534.133,3475.99,89.63
2021-02-18,24.0017,51.56,64.72,21.85,157.56,73.278,91.01,1935.46,247.28,412.35,89.14,8009.96,83.10,18.050,215.69,11.7181,56.62,529.526,3438.34,88.77
2021-02-19,24.1480,50.95,63.88,21.71,157.96,71.604,91.19,1925.73,254.90,411.97,89.96,7922.10,82.44,18.107,212.75,11.3398,56.04,527.799,3449.93,87.35
